full_text,sentiment
yang ketawa ngerti maksud komeng kah itu,negative
 goblok sj kalau komeng di bagian pertanian sumpah tolol itu pimpinan busuk,negative
 sudah tepat pak komeng bicara demikian seharusnya beliau ditempatkan sesuai kemampuannya,positive
ketika sudah di bidang yang lain komeng sebelumnya komedian sekarang ada di dewan harusnya jangan disatukan lah kocak juga ,neutral
 gas terus bang komeng suara pendukung mu lebih banyak dari mereka semuaaaa,positive
 udah terima aja pak komeng dan buat para petani ceria walau gagal panen walau susah pupuk bikin mereka tetap ceria dalam menerima takdirnya sebagai petani  mungkin maksud mereka begitu ,positive
gue jadi komeng bakal marah besar di komite ii biar ada hiburan  wdym gue ke senat untuk jadi wakil rakyat suara gue terbanyak kok bisabisanya lo jadiin gue badut komeng deserves the place to represents his people in senate,negative
 meng komeng anda anggota drwan tingkat nasional cobalah dg jiwa senimu menyuarakan kepentingan masyarakat jabar jabar juga dikenal sbg daerah pertanian komplitlah jabar tu,neutral
 baru kali ini bang komeng kalah lucu sama pimpinan,neutral
 gak lucu pak suara komeng jauh lebih banyak dripada anda mungkin yg harusnya kalau bkn krna kpentingan dan urusan partaian yg paling bnyak suara yg jadi ketua,negative
 biar di komite  banyak hiburan ini jelas usaha merendahkan dan menghina kapabilitas komeng dgn kata lain komeng cuma dianggap badut oleh anggota dpd,neutral
 sindiran cerdas kpd pimpinan harusnya komeng jadi pemimpinya,neutral
 komeng bikin gerah  keren,positive
 temanteman di komite  pengen bapak tetap di komite  biar banyak hiburan kelakar pimpinan sidang cok ini ngurus negara tapi ngerespon statement serius dari komeng malah kayak pembentukan fungsionaris osis ,neutral
 iyaa makanya tapi responnya malah begitu terus juga yang lain pada ketawa pas komeng kelar ngomong kek its not even a joke,negative
 pertanyaan om komeng itu tepatmasa sdh jd anggota dpd masih hrs belajar dr nol lg udah bkan saat nya lagitempat org sesuai keahlian nyakrn dlm bidang yg dia kuasai jg blm semua dikuasai trutama masalah peraturan dan undangnya,negative
gw kalo jd komeng udah kesindir kali ya dibilany temanteman di komisi ii butuh hiburan yee kocak tuh komeng dr awal emg maunya masuk ke komisi yg ngurus seni ama budaya tb masuk pertanian dgn alasan temen butuh hiburan  lah komeng ni skrg posisinya wakil rakyat bukan,neutral
ben komite  ana hiburane guoooblok tenan ki pimpinane dipikir komeng ki meh nglawak nang dpd po pie,neutral
 gw yakin diantara semua orang disana gak ada yg lebih pinter dari bang komeng,positive
 wooiii ketua bego komeng ud bener ingin di budaya kok mau dijadiin tukang hibur di komisi ,negative
 komeng di buang juga akhirnya,neutral
 juga aneh kenapa mesti ada komite sektor senator mestinya basis teritori bentuk aja komite i utk regional sumatera  misalnya kan urusannya daerahkewilayahan beda sama  yg punya fraksi lalu dibagi persektoral ngatri ora sih    ,neutral
 grgr om komeng masyarakat umum jdi tahu bagaimana dpr memberi jabatan utk para anggota  thanks om komeng tlh membuka fakta selama ini yg blm terlihat,negative
 mantab bang komengdi awali dengan kejujuran semoga berkah buat indonesia,positive
mbois bang komeng ,positive
 mudah²an bang komeng tetap lurus dan bersih berada di lingkungan yang orang²nya kebanyakan bengkok dan kotor semangat bang komeng membuat perubahan,positive
jangan langsung diulti gitu nang komeng,neutral
 jawabannya lelucon kelihatan bgd ngeremehin om komeng,negative
salah satu yang bikin ancur²an negara ini adalah banyaknya orang berada pada bidang yang bukan field expertisenya dan kalau melihat video ini kemungkinan ini memang disengaja karena kalo komeng berada pada komisi yang mengurus seni budaya akan banyak kritikan darinya,positive
 beliau sebetulnya menyindir ala komika tetaplah menjadi komeng yang apa adanya,positive
 yang laen kan gak bnyak bacot kaya komeng harusnya kaya yg laen lah diem diem aja meng yg pnting dapet gaji buta ama tunjangan dari proyek ga jelas,negative
 mudah²an bang komeng tetap lurus dan bersih berada di lingkungan yang orang²nya kebanyakan bengkok dan kotor semangat bang komeng membuat perubahan,positive
 komeng betul sesuai dgn skilnya ,negative
  itu sarkas bang komeng tuh,positive
 gak habis fikri komeng itu sudah dari awal pengen bergerak di bidang seni malah di taro di pertanian  indonesia cemas,neutral
memang bener yang komedian bukan bang komeng tapi pimpinannya ini mah mana ada pimpinan bilang tetep di komisi  biar ada hiburannya jadi orang di senayan yang harusnya serius ngurus rakyat malah mainmain,neutral
 setuju bang komeng dadi org kudu iso rumongso anggota dewan bukan untuk saatnya belajar dan mempelajari,positive
 dari komeng kita bisa melihat sistem yg semakin caurmarut kompeten dibidang a diposisikan dibidang b,positive
 gw klo jadi komeng sih marah dikira masuk dpd buat jadi badut hiburan buat merekamereka kali ini isi orang legislatif begini semua apa asal taro orang di komite yang bukan kompetensinya,neutral
 salut buat bang komeng krn berani menyuarakan hal tersebut cuma kesel krn segitu bobroknya sistem pemerintahan indonesia,positive
calon gubernur pramono anung menyapa warga kawasan wijaya kusuma grogol petamburan jakbar kamis  bersosialisasi program dengan mendatangi sejumlah wilayah jakarta   el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
pwnu jakarta mas pram dan bang doel adalah teman yang mewakili pwnu   el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
komeng di sini merendah aja sih stendapnya beliau di somasinya  tentang pertanian masuk juga tuh,neutral
mas pram bang doel akan benahi data warga penerima bantuan   el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
komeng benar serahkan sesuatu pada ahlinya al hadist ,positive
 komeng memang luar biasa mau interupsi utk menempatkan org harus pada kemampuannya bukan sesuka hatinya asal kan jadi saja  bravo komen,negative
doa kh samsul maarif untuk mas pram dan bang doel agar bisa memajukan jakarta doa terbaik buat mereka   el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
 oh jadi pak di dpd itu bukan ranah profesional dan jarang serius ya sampe harus ada hiburan segala itu komeng mau kerja pak bukan ngelucu,neutral
 kerenn ihh komeng,negative
bang komeng semangat emang pemerintah nya aja yg kocak,positive
 pak budi ari kayaknya harus belajar dari bang komeng,positive
 kalo saya jadi mas komeng mendingan mundurdaripada kerja tdk sesuai bidang keahliannyakrn jadi kayak pelawakmentang basic pelawak di suruh jadi pelawak mulupadahal gaji dan tunjangan mas komeng dari rakyatwalah,negative
 komeng di lawan,negative
pilihan boleh berbeda tapi tetap jaga persatuan dan persaudaraan untuk mewujudkan pilkada  aman dan damai wujudkan suasana pilkada  yg damai tanpa saling menjatuhkan mari kita tetap menjaga persatuan kesatuan _ el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
  bang komeng ga di pemerintahan dia utusan daerah gw,neutral
 mengundurkan diri aja bang komeng pasti ada cara memajukan seni dan budaya indonesia lewat jalur lain selain legislatif,positive
 betul bang komeng memang itu yg membuat negeri ini ancur menempatkan orang gak sesuai keahliannya coba check jabatan dari menteri direksi bumn dst apa ada yg sesuai bidangnya miris betul negeri konoha ini,negative
guna menentukan langkah strategis menghadapi pelaksanaan pilkada serentak  polsek mandau melalui program cooling system melakukan koordinasi dgn ppk dan panwascam terkait pelaksanaan tahapan pilkada  el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,neutral
 ini argumen cerdas dr bang komeng apa dasarnya belio ditempatkan pd posisi yg bukan bidangnya ,negative
politik uang terus menjadi ancaman serius dalam proses demokrasi terutama menjelang pilkada serentak yang akan digelar pada  november  praktik ini bukan sekadar isu sederhana el klemer fifa rcti shayne nathan arab ahmed al kaf komeng ,positive
 di sidang resmi namanya juga komeng gtgtgt duta tukang pertanian bang komeng mending jadi tani aje daripada jadi fufufafa ataupun mulyono haha,neutral
 logis pertanyaan bang komeng ini mantap,positive
 hah jawaban ketua ditaruh di komisi  supaya banyak hiburan komeng dipilih sebagai dpd bukan sebagai penghibur bayaran penghibur ya pakai duit anda dong jangan pakai duit negara,neutral
 lah dikata komeng masuk dpd buat menghibur please deh wah ada aja,neutral
  ini nih yg pantas menyandang nama goblok dan unfaedah komeng itu tahu kapabilitasnya dia itu orang seni dan ingin memperjuangkan seni dan budaya indonesia kenapa ditempatkan di bidang yg tidak dikuasai belajar dikit kenapa bro,negative
 kalo org lain dgn kalimat yg sama malah cringe kalo legend komeng malah ngelawak vibenya jdnya gaada musuh,negative
